DATE,INTERVAL,DURATION
1.00,78.00,4.40
1.00,74.00,3.90
1.00,68.00,4.00
1.00,76.00,4.00
1.00,80.00,3.50
1.00,84.00,4.10
1.00,50.00,2.30
1.00,93.00,4.70
1.00,55.00,1.70
1.00,76.00,4.90
1.00,58.00,1.70
1.00,74.00,4.60
1.00,75.00,3.40
2.00,80.00,4.30
2.00,56.00,1.70
2.00,80.00,3.90
2.00,69.00,3.70
2.00,57.00,3.10
2.00,90.00,4.00
2.00,42.00,1.80
2.00,91.00,4.10
2.00,51.00,1.80
2.00,79.00,3.20
2.00,53.00,1.90
2.00,82.00,4.60
2.00,51.00,2.00
3.00,76.00,4.50
3.00,82.00,3.90
3.00,84.00,4.30
3.00,53.00,2.30
3.00,86.00,3.80
3.00,51.00,1.90
3.00,85.00,4.60
3.00,45.00,1.80
3.00,88.00,4.70
3.00,51.00,1.80
3.00,80.00,4.60
3.00,49.00,1.90
3.00,82.00,3.50
4.00,75.00,4.00
4.00,73.00,3.70
4.00,67.00,3.70
4.00,68.00,4.30
4.00,86.00,3.60
4.00,72.00,3.80
4.00,75.00,3.80
4.00,75.00,3.80
4.00,66.00,2.50
4.00,84.00,4.50
4.00,70.00,4.10
4.00,79.00,3.70
4.00,60.00,3.80
4.00,86.00,3.40
5.00,71.00,4.00
5.00,67.00,2.30
5.00,81.00,4.40
5.00,76.00,4.10
5.00,83.00,4.30
5.00,76.00,3.30
5.00,55.00,2.00
5.00,73.00,4.30
5.00,56.00,2.90
5.00,83.00,4.60
5.00,57.00,1.90
5.00,71.00,3.60
5.00,72.00,3.70
5.00,77.00,3.70
6.00,55.00,1.80
6.00,75.00,4.60
6.00,73.00,3.50
6.00,70.00,4.00
6.00,83.00,3.70
6.00,50.00,1.70
6.00,95.00,4.60
6.00,51.00,1.70
6.00,82.00,4.00
6.00,54.00,1.80
6.00,83.00,4.40
6.00,51.00,1.90
6.00,80.00,4.60
6.00,78.00,2.90
7.00,81.00,3.50
7.00,53.00,2.00
7.00,89.00,4.30
7.00,44.00,1.80
7.00,78.00,4.10
7.00,61.00,1.80
7.00,73.00,4.70
7.00,75.00,4.20
7.00,73.00,3.90
7.00,76.00,4.30
7.00,55.00,1.80
7.00,86.00,4.50
7.00,48.00,2.00
8.00,77.00,4.20
8.00,73.00,4.40
8.00,70.00,4.10
8.00,88.00,4.10
8.00,75.00,4.00
8.00,83.00,4.10
8.00,61.00,2.70
8.00,78.00,4.60
8.00,61.00,1.90
8.00,81.00,4.50
8.00,51.00,2.00
8.00,80.00,4.80
8.00,79.00,4.10
