ID,Station,Snow.Depth,Max.Temp,Min.Temp,Elevation
33,Daly Creek ,20.2,38,31,5780
63,Wood Creek ,29.2,39,31,5960
27,Hand Creek ,1.7,50,33,5035
83,Copper Bottom ,1.3,42,33,5200
60,Albro Lake ,59.7,30,24,8300
62,Black Pine ,41.5,31,27,7210
40,Barker Lakes ,66.8,26,24,8250
17,South Fork Shields ,63.6,30,26,8100
18,Northeast Entrance ,11.2,45,28,7350
53,Combination ,14,36,28,5600
3,Hawkins Lake ,48.3,44,27,6450
16,Saddle Mountain ,54.8,30,24,7900
15,Waldron ,16.1,42,30,5600
55,Daisy Peak ,44,32,22,7600
73,Frohner Meadow ,29.1,32,29,6480
37,Bisson Creek ,17.9,46,34,4925
51,Nevada Ridge ,41.5,32,28,7020
85,Basin Creek ,36.5,33,26,7180
41,Badger Pass ,63.8,41,28,6900
14,Warm Springs ,67.2,31,26,7800
34,Copper Camp ,61.7,33,27,6950
36,Bloody Dick ,27.2,39,26,7550
23,Mount Lockhart ,39.8,42,29,6400
66,Sleeping Woman ,34.5,43,31,6150
78,Shower Falls ,71.6,34,22,8100
