Humerus,Status
659,Perished
689,Perished
703,Perished
702,Perished
709,Perished
713,Perished
720,Perished
729,Perished
726,Perished
726,Perished
720,Perished
737,Perished
739,Perished
731,Perished
738,Perished
736,Perished
738,Perished
744,Perished
745,Perished
743,Perished
754,Perished
752,Perished
752,Perished
765,Perished
687,Survived
703,Survived
709,Survived
715,Survived
728,Survived
721,Survived
729,Survived
723,Survived
728,Survived
723,Survived
726,Survived
728,Survived
736,Survived
733,Survived
730,Survived
733,Survived
730,Survived
739,Survived
735,Survived
741,Survived
741,Survived
749,Survived
741,Survived
743,Survived
741,Survived
752,Survived
752,Survived
751,Survived
756,Survived
755,Survived
766,Survived
767,Survived
769,Survived
770,Survived
780,Survived
